abbr,year,population
LU,2020,626108.0
LU,2021,634730.0
LU,2022,645397.0
LU,2023,660809.0
LU,2024,672050.0
LV,2015,1986096.0
LV,2016,1968957.0
LV,2017,1950116.0
LV,2018,1934379.0
LV,2019,1919968.0
LV,2020,1907675.0
LV,2021,1893223.0
LV,2022,1875757.0
LV,2023,1883008.0
LV,2024,1871882.0
ME,2015,622099.0
ME,2016,622218.0
ME,2017,622387.0
ME,2018,622359.0
ME,2019,622182.0
ME,2020,621873.0
ME,2021,620739.0
ME,2022,617683.0
ME,2023,616695.0
ME,2024,623680.0
MT,2015,438805.0
MT,2016,449635.0
MT,2017,459375.0
MT,2018,474837.0
MT,2019,492968.0
MT,2020,514855.0
MT,2021,516125.0
MT,2022,520174.0
MT,2023,542051.0
MT,2024,563443.0
NL,2015,16900726.0
NL,2016,16979120.0
NL,2017,17081507.0
NL,2018,17181084.0
NL,2019,17282163.0
NL,2020,17407585.0
NL,2021,17475415.0
NL,2022,17590672.0
NL,2023,17811291.0
NL,2024,17942942.0
NO,2015,5165802.0
NO,2016,5213985.0
NO,2017,5258317.0
NO,2018,5295619.0
NO,2019,5328212.0
NO,2020,5367580.0
NO,2021,5391369.0
NO,2022,5425270.0
NO,2023,5488984.0
NO,2024,5550217.0
PL,2015,38005614.0
PL,2016,37967209.0
PL,2017,37972964.0
PL,2018,37976687.0
PL,2019,37972812.0
PL,2020,37958138.0
PL,2021,37073357.0
PL,2022,36889761.0
PL,2023,36753736.0
PL,2024,36620970.0
PT,2015,10395121.0
PT,2016,10368554.0
PT,2017,10344478.0
PT,2018,10335770.0
PT,2019,10333496.0
PT,2020,10375395.0
PT,2021,10394297.0
PT,2022,10421117.0
PT,2023,10516621.0
PT,2024,10639726.0
RO,2015,19870647.0
RO,2016,19760585.0
RO,2017,19643949.0
RO,2018,19533481.0
RO,2019,19414458.0
RO,2020,19328838.0
RO,2021,19201662.0
RO,2022,19042455.0
RO,2023,19054548.0
RO,2024,19067576.0
RS,2015,7114393.0
RS,2016,7076372.0
RS,2017,7040272.0
RS,2018,7001444.0
RS,2019,6963764.0
RS,2020,6926705.0
RS,2021,6871547.0
RS,2022,6797105.0
RS,2023,6641197.0
RS,2024,6605168.0
SE,2015,9747355.0
SE,2016,9851017.0
SE,2017,9995153.0
SE,2018,10120242.0
SE,2019,10230185.0
SE,2020,10327589.0
SE,2021,10379295.0
SE,2022,10452326.0
SE,2023,10521556.0
SE,2024,10551707.0
SI,2015,2062874.0
SI,2016,2064188.0
SI,2017,2065895.0
SI,2018,2066880.0
SI,2019,2080908.0
SI,2020,2095861.0
SI,2021,2108977.0
SI,2022,2107180.0
SI,2023,2116972.0
SI,2024,2123949.0
SK,2015,5421349.0
SK,2016,5426252.0
SK,2017,5435343.0
SK,2018,5443120.0
SK,2019,5450421.0
SK,2020,5457873.0
SK,2021,5459781.0
SK,2022,5434712.0
SK,2023,5428792.0
SK,2024,5424687.0
