name,abbr,agegrp,year,deaths
Bulgaria,BG,Y20-39,2024,1339.0
Bulgaria,BG,Y40-59,2015,12822.0
Bulgaria,BG,Y40-59,2016,12522.0
Bulgaria,BG,Y40-59,2017,12398.0
Bulgaria,BG,Y40-59,2018,12250.0
Bulgaria,BG,Y40-59,2019,11862.0
Bulgaria,BG,Y40-59,2020,13819.0
Bulgaria,BG,Y40-59,2021,16416.0
Bulgaria,BG,Y40-59,2022,12371.0
Bulgaria,BG,Y40-59,2023,11015.0
Bulgaria,BG,Y40-59,2024,11071.666666666666
Bulgaria,BG,Y60-79,2015,48558.0
Bulgaria,BG,Y60-79,2016,46950.0
Bulgaria,BG,Y60-79,2017,47715.0
Bulgaria,BG,Y60-79,2018,47570.0
Bulgaria,BG,Y60-79,2019,47753.0
Bulgaria,BG,Y60-79,2020,57660.0
Bulgaria,BG,Y60-79,2021,71119.0
Bulgaria,BG,Y60-79,2022,54235.0
Bulgaria,BG,Y60-79,2023,46412.0
Bulgaria,BG,Y60-79,2024,45983.166666666664
Bulgaria,BG,Y_GE80,2015,48012.0
Bulgaria,BG,Y_GE80,2016,44998.0
Bulgaria,BG,Y_GE80,2017,46791.0
Bulgaria,BG,Y_GE80,2018,45936.0
Bulgaria,BG,Y_GE80,2019,45823.0
Bulgaria,BG,Y_GE80,2020,52172.0
Bulgaria,BG,Y_GE80,2021,58310.0
Bulgaria,BG,Y_GE80,2022,49482.0
Bulgaria,BG,Y_GE80,2023,41205.0
Bulgaria,BG,Y_GE80,2024,40320.583333333336
Bulgaria,BG,Y_LT20,2015,812.0
Bulgaria,BG,Y_LT20,2016,736.0
Bulgaria,BG,Y_LT20,2017,738.0
Bulgaria,BG,Y_LT20,2018,726.0
Bulgaria,BG,Y_LT20,2019,689.0
Bulgaria,BG,Y_LT20,2020,579.0
Bulgaria,BG,Y_LT20,2021,668.0
Bulgaria,BG,Y_LT20,2022,570.0
Bulgaria,BG,Y_LT20,2023,578.0
Bulgaria,BG,Y_LT20,2024,530.8333333333334
Croatia,HR,LT80,2015,28930.0
Croatia,HR,LT80,2016,26435.0
Croatia,HR,LT80,2017,26985.0
Croatia,HR,LT80,2018,26343.0
Croatia,HR,LT80,2019,25591.0
Croatia,HR,LT80,2020,28534.0
Croatia,HR,LT80,2021,31062.0
Croatia,HR,LT80,2022,27188.0
Croatia,HR,LT80,2023,25461.0
Croatia,HR,LT80,2024,24721.666666666668
Croatia,HR,TOTAL,2015,55140.0
Croatia,HR,TOTAL,2016,51254.0
Croatia,HR,TOTAL,2017,53269.0
Croatia,HR,TOTAL,2018,52562.0
Croatia,HR,TOTAL,2019,51611.0
Croatia,HR,TOTAL,2020,57942.0
Croatia,HR,TOTAL,2021,62496.0
Croatia,HR,TOTAL,2022,56775.0
Croatia,HR,TOTAL,2023,51070.0
Croatia,HR,TOTAL,2024,50594.916666666664
Croatia,HR,Y20-39,2015,736.0
Croatia,HR,Y20-39,2016,628.0
Croatia,HR,Y20-39,2017,629.0
Croatia,HR,Y20-39,2018,615.0
Croatia,HR,Y20-39,2019,624.0
Croatia,HR,Y20-39,2020,610.0
Croatia,HR,Y20-39,2021,635.0
Croatia,HR,Y20-39,2022,589.0
Croatia,HR,Y20-39,2023,540.0
Croatia,HR,Y20-39,2024,503.75
Croatia,HR,Y40-59,2015,5242.0
Croatia,HR,Y40-59,2016,4623.0
Croatia,HR,Y40-59,2017,4638.0
Croatia,HR,Y40-59,2018,4632.0
Croatia,HR,Y40-59,2019,4377.0
Croatia,HR,Y40-59,2020,4471.0
Croatia,HR,Y40-59,2021,4977.0
Croatia,HR,Y40-59,2022,4189.0
Croatia,HR,Y40-59,2023,4067.0
Croatia,HR,Y40-59,2024,3811.1666666666665
Croatia,HR,Y60-79,2015,22629.0
Croatia,HR,Y60-79,2016,20892.0
Croatia,HR,Y60-79,2017,21428.0
Croatia,HR,Y60-79,2018,20809.0
Croatia,HR,Y60-79,2019,20321.0
Croatia,HR,Y60-79,2020,23178.0
Croatia,HR,Y60-79,2021,25192.0
Croatia,HR,Y60-79,2022,22154.0
Croatia,HR,Y60-79,2023,20604.0
Croatia,HR,Y60-79,2024,20196.583333333332
Croatia,HR,Y_GE80,2015,26210.0
Croatia,HR,Y_GE80,2016,24819.0
Croatia,HR,Y_GE80,2017,26279.0
Croatia,HR,Y_GE80,2018,26215.0
Croatia,HR,Y_GE80,2019,26018.0
Croatia,HR,Y_GE80,2020,29407.0
Croatia,HR,Y_GE80,2021,31434.0
Croatia,HR,Y_GE80,2022,29587.0
Croatia,HR,Y_GE80,2023,25609.0
Croatia,HR,Y_GE80,2024,25873.25
Croatia,HR,Y_LT20,2015,323.0
Croatia,HR,Y_LT20,2016,292.0
Croatia,HR,Y_LT20,2017,290.0
Croatia,HR,Y_LT20,2018,287.0
Croatia,HR,Y_LT20,2019,269.0
Croatia,HR,Y_LT20,2020,275.0
Croatia,HR,Y_LT20,2021,258.0
Croatia,HR,Y_LT20,2022,256.0
Croatia,HR,Y_LT20,2023,250.0
Croatia,HR,Y_LT20,2024,210.16666666666666
Cyprus,CY,LT80,2015,2699.0
Cyprus,CY,LT80,2016,2520.0
Cyprus,CY,LT80,2017,2667.0
Cyprus,CY,LT80,2018,2682.0
Cyprus,CY,LT80,2019,2768.0
Cyprus,CY,LT80,2020,2997.0
Cyprus,CY,LT80,2021,3367.0
Cyprus,CY,LT80,2022,3191.0
Cyprus,CY,LT80,2023,3006.0
Cyprus,CY,LT80,2024,2786.16
Cyprus,CY,TOTAL,2015,5983.0
Cyprus,CY,TOTAL,2016,5448.0
Cyprus,CY,TOTAL,2017,6009.0
Cyprus,CY,TOTAL,2018,5798.0
Cyprus,CY,TOTAL,2019,6218.0
Cyprus,CY,TOTAL,2020,6650.0
Cyprus,CY,TOTAL,2021,7219.0
Cyprus,CY,TOTAL,2022,7208.0
Cyprus,CY,TOTAL,2023,6688.0
Cyprus,CY,TOTAL,2024,6467.76
Cyprus,CY,Y20-39,2015,120.0
Cyprus,CY,Y20-39,2016,86.0
Cyprus,CY,Y20-39,2017,104.0
Cyprus,CY,Y20-39,2018,104.0
Cyprus,CY,Y20-39,2019,125.0
Cyprus,CY,Y20-39,2020,116.0
Cyprus,CY,Y20-39,2021,138.0
Cyprus,CY,Y20-39,2022,96.0
Cyprus,CY,Y20-39,2023,129.0
Cyprus,CY,Y20-39,2024,83.2
Cyprus,CY,Y40-59,2015,473.0
Cyprus,CY,Y40-59,2016,457.0
Cyprus,CY,Y40-59,2017,467.0
Cyprus,CY,Y40-59,2018,426.0
Cyprus,CY,Y40-59,2019,452.0
Cyprus,CY,Y40-59,2020,539.0
Cyprus,CY,Y40-59,2021,588.0
Cyprus,CY,Y40-59,2022,484.0
Cyprus,CY,Y40-59,2023,507.0
Cyprus,CY,Y40-59,2024,422.24
Cyprus,CY,Y60-79,2015,2063.0
Cyprus,CY,Y60-79,2016,1929.0
Cyprus,CY,Y60-79,2017,2057.0
Cyprus,CY,Y60-79,2018,2102.0
Cyprus,CY,Y60-79,2019,2149.0
Cyprus,CY,Y60-79,2020,2303.0
Cyprus,CY,Y60-79,2021,2593.0
Cyprus,CY,Y60-79,2022,2552.0
Cyprus,CY,Y60-79,2023,2306.0
Cyprus,CY,Y60-79,2024,2219.36
Cyprus,CY,Y_GE80,2015,3284.0
Cyprus,CY,Y_GE80,2016,2928.0
Cyprus,CY,Y_GE80,2017,3342.0
Cyprus,CY,Y_GE80,2018,3116.0
Cyprus,CY,Y_GE80,2019,3450.0
Cyprus,CY,Y_GE80,2020,3653.0
Cyprus,CY,Y_GE80,2021,3852.0
Cyprus,CY,Y_GE80,2022,4017.0
Cyprus,CY,Y_GE80,2023,3682.0
Cyprus,CY,Y_GE80,2024,3681.6
Cyprus,CY,Y_LT20,2015,43.0
Cyprus,CY,Y_LT20,2016,48.0
Cyprus,CY,Y_LT20,2017,39.0
Cyprus,CY,Y_LT20,2018,50.0
Cyprus,CY,Y_LT20,2019,42.0
Cyprus,CY,Y_LT20,2020,39.0
Cyprus,CY,Y_LT20,2021,48.0
Cyprus,CY,Y_LT20,2022,59.0
Cyprus,CY,Y_LT20,2023,64.0
Cyprus,CY,Y_LT20,2024,61.36
Czechia,CZ,LT80,2015,61218.0
Czechia,CZ,LT80,2016,59004.0
Czechia,CZ,LT80,2017,60522.0
Czechia,CZ,LT80,2018,61906.0
Czechia,CZ,LT80,2019,61685.0
Czechia,CZ,LT80,2020,70782.0
Czechia,CZ,LT80,2021,79808.0
Czechia,CZ,LT80,2022,65340.0
Czechia,CZ,LT80,2023,61465.0
Czechia,CZ,LT80,2024,59431.574468085106
Czechia,CZ,TOTAL,2015,113174.0
Czechia,CZ,TOTAL,2016,107237.0
Czechia,CZ,TOTAL,2017,111007.0
Czechia,CZ,TOTAL,2018,112604.0
Czechia,CZ,TOTAL,2019,112040.0
Czechia,CZ,TOTAL,2020,131494.0
Czechia,CZ,TOTAL,2021,139150.0
Czechia,CZ,TOTAL,2022,119849.0
Czechia,CZ,TOTAL,2023,112339.0
Czechia,CZ,TOTAL,2024,110191.31914893618
Czechia,CZ,Y20-39,2015,1969.0
Czechia,CZ,Y20-39,2016,1828.0
Czechia,CZ,Y20-39,2017,1773.0
Czechia,CZ,Y20-39,2018,1819.0
Czechia,CZ,Y20-39,2019,1739.0
Czechia,CZ,Y20-39,2020,1756.0
Czechia,CZ,Y20-39,2021,1852.0
Czechia,CZ,Y20-39,2022,1783.0
Czechia,CZ,Y20-39,2023,1742.0
Czechia,CZ,Y20-39,2024,1649.6170212765958
Czechia,CZ,Y40-59,2015,10291.0
Czechia,CZ,Y40-59,2016,9822.0
Czechia,CZ,Y40-59,2017,9710.0
Czechia,CZ,Y40-59,2018,9703.0
Czechia,CZ,Y40-59,2019,9671.0
Czechia,CZ,Y40-59,2020,10715.0
Czechia,CZ,Y40-59,2021,12233.0
Czechia,CZ,Y40-59,2022,10296.0
Czechia,CZ,Y40-59,2023,9959.0
Czechia,CZ,Y40-59,2024,9594.553191489362
Czechia,CZ,Y60-79,2015,48378.0
Czechia,CZ,Y60-79,2016,46747.0
Czechia,CZ,Y60-79,2017,48445.0
Czechia,CZ,Y60-79,2018,49784.0
Czechia,CZ,Y60-79,2019,49663.0
Czechia,CZ,Y60-79,2020,57787.0
Czechia,CZ,Y60-79,2021,65193.0
Czechia,CZ,Y60-79,2022,52702.0
Czechia,CZ,Y60-79,2023,49265.0
Czechia,CZ,Y60-79,2024,47684.0
Czechia,CZ,Y_GE80,2015,51956.0
Czechia,CZ,Y_GE80,2016,48233.0
Czechia,CZ,Y_GE80,2017,50485.0
Czechia,CZ,Y_GE80,2018,50698.0
Czechia,CZ,Y_GE80,2019,50355.0
Czechia,CZ,Y_GE80,2020,60712.0
Czechia,CZ,Y_GE80,2021,59342.0
Czechia,CZ,Y_GE80,2022,54509.0
Czechia,CZ,Y_GE80,2023,50874.0
Czechia,CZ,Y_GE80,2024,50759.744680851065
Czechia,CZ,Y_LT20,2015,580.0
Czechia,CZ,Y_LT20,2016,607.0
Czechia,CZ,Y_LT20,2017,594.0
Czechia,CZ,Y_LT20,2018,600.0
Czechia,CZ,Y_LT20,2019,612.0
Czechia,CZ,Y_LT20,2020,524.0
Czechia,CZ,Y_LT20,2021,530.0
Czechia,CZ,Y_LT20,2022,559.0
Czechia,CZ,Y_LT20,2023,499.0
Czechia,CZ,Y_LT20,2024,503.40425531914894
Denmark,DK,LT80,2015,26525.0
Denmark,DK,LT80,2016,26234.0
Denmark,DK,LT80,2017,25955.0
Denmark,DK,LT80,2018,26780.0
Denmark,DK,LT80,2019,26371.0
Denmark,DK,LT80,2020,26842.0
Denmark,DK,LT80,2021,27285.0
Denmark,DK,LT80,2022,28054.0
Denmark,DK,LT80,2023,27071.0
Denmark,DK,LT80,2024,25802.0
Denmark,DK,TOTAL,2015,53435.0
Denmark,DK,TOTAL,2016,52581.0
Denmark,DK,TOTAL,2017,53103.0
Denmark,DK,TOTAL,2018,55076.0
Denmark,DK,TOTAL,2019,53805.0
Denmark,DK,TOTAL,2020,55478.0
Denmark,DK,TOTAL,2021,57041.0
Denmark,DK,TOTAL,2022,59274.0
Denmark,DK,TOTAL,2023,57854.0
Denmark,DK,TOTAL,2024,56482.0
Denmark,DK,Y20-39,2015,596.0
Denmark,DK,Y20-39,2016,666.0
Denmark,DK,Y20-39,2017,602.0
Denmark,DK,Y20-39,2018,610.0
Denmark,DK,Y20-39,2019,607.0
Denmark,DK,Y20-39,2020,660.0
Denmark,DK,Y20-39,2021,584.0
Denmark,DK,Y20-39,2022,631.0
Denmark,DK,Y20-39,2023,612.0
Denmark,DK,Y20-39,2024,591.0
Denmark,DK,Y40-59,2015,4686.0
Denmark,DK,Y40-59,2016,4525.0
Denmark,DK,Y40-59,2017,4278.0
Denmark,DK,Y40-59,2018,4303.0
Denmark,DK,Y40-59,2019,4004.0
Denmark,DK,Y40-59,2020,3950.0
Denmark,DK,Y40-59,2021,3936.0
Denmark,DK,Y40-59,2022,3878.0
Denmark,DK,Y40-59,2023,3708.0
Denmark,DK,Y40-59,2024,3496.0
Denmark,DK,Y60-79,2015,20891.0
Denmark,DK,Y60-79,2016,20709.0
Denmark,DK,Y60-79,2017,20704.0
Denmark,DK,Y60-79,2018,21496.0
Denmark,DK,Y60-79,2019,21439.0
Denmark,DK,Y60-79,2020,21907.0
Denmark,DK,Y60-79,2021,22427.0
Denmark,DK,Y60-79,2022,23229.0
Denmark,DK,Y60-79,2023,22440.0
Denmark,DK,Y60-79,2024,21330.0
Denmark,DK,Y_GE80,2015,26910.0
Denmark,DK,Y_GE80,2016,26347.0
Denmark,DK,Y_GE80,2017,27148.0
Denmark,DK,Y_GE80,2018,28296.0
Denmark,DK,Y_GE80,2019,27429.0
Denmark,DK,Y_GE80,2020,28636.0
Denmark,DK,Y_GE80,2021,29756.0
Denmark,DK,Y_GE80,2022,31220.0
Denmark,DK,Y_GE80,2023,30783.0
Denmark,DK,Y_GE80,2024,30680.0
Denmark,DK,Y_LT20,2015,352.0
Denmark,DK,Y_LT20,2016,334.0
Denmark,DK,Y_LT20,2017,371.0
Denmark,DK,Y_LT20,2018,371.0
Denmark,DK,Y_LT20,2019,321.0
Denmark,DK,Y_LT20,2020,325.0
Denmark,DK,Y_LT20,2021,338.0
Denmark,DK,Y_LT20,2022,316.0
Denmark,DK,Y_LT20,2023,311.0
Denmark,DK,Y_LT20,2024,385.0
Estonia,EE,LT80,2015,8517.0
Estonia,EE,LT80,2016,8229.0
Estonia,EE,LT80,2017,8040.0
Estonia,EE,LT80,2018,8075.0
Estonia,EE,LT80,2019,7781.0
Estonia,EE,LT80,2020,7992.0
Estonia,EE,LT80,2021,9059.0
Estonia,EE,LT80,2022,8228.0
Estonia,EE,LT80,2023,7828.0
Estonia,EE,LT80,2024,7920.0
Estonia,EE,TOTAL,2015,15481.0
Estonia,EE,TOTAL,2016,15314.0
Estonia,EE,TOTAL,2017,15476.0
Estonia,EE,TOTAL,2018,15684.0
Estonia,EE,TOTAL,2019,15332.0
Estonia,EE,TOTAL,2020,16057.0
Estonia,EE,TOTAL,2021,18416.0
Estonia,EE,TOTAL,2022,17201.0
Estonia,EE,TOTAL,2023,15953.0
Estonia,EE,TOTAL,2024,15879.0
Estonia,EE,Y20-39,2015,416.0
Estonia,EE,Y20-39,2016,440.0
Estonia,EE,Y20-39,2017,345.0
Estonia,EE,Y20-39,2018,303.0
Estonia,EE,Y20-39,2019,284.0
Estonia,EE,Y20-39,2020,297.0
Estonia,EE,Y20-39,2021,324.0
Estonia,EE,Y20-39,2022,341.0
Estonia,EE,Y20-39,2023,330.0
Estonia,EE,Y20-39,2024,316.0
Estonia,EE,Y40-59,2015,1769.0
Estonia,EE,Y40-59,2016,1711.0
Estonia,EE,Y40-59,2017,1580.0
Estonia,EE,Y40-59,2018,1644.0
Estonia,EE,Y40-59,2019,1578.0
Estonia,EE,Y40-59,2020,1674.0
Estonia,EE,Y40-59,2021,1724.0
Estonia,EE,Y40-59,2022,1640.0
Estonia,EE,Y40-59,2023,1581.0
Estonia,EE,Y40-59,2024,1566.0
Estonia,EE,Y60-79,2015,6233.0
Estonia,EE,Y60-79,2016,5989.0
Estonia,EE,Y60-79,2017,6034.0
Estonia,EE,Y60-79,2018,6049.0
Estonia,EE,Y60-79,2019,5848.0
Estonia,EE,Y60-79,2020,5959.0
Estonia,EE,Y60-79,2021,6928.0
Estonia,EE,Y60-79,2022,6171.0
Estonia,EE,Y60-79,2023,5835.0
Estonia,EE,Y60-79,2024,5963.0
Estonia,EE,Y_GE80,2015,6964.0
Estonia,EE,Y_GE80,2016,7085.0
Estonia,EE,Y_GE80,2017,7436.0
Estonia,EE,Y_GE80,2018,7609.0
Estonia,EE,Y_GE80,2019,7551.0
Estonia,EE,Y_GE80,2020,8065.0
Estonia,EE,Y_GE80,2021,9357.0
Estonia,EE,Y_GE80,2022,8973.0
Estonia,EE,Y_GE80,2023,8125.0
Estonia,EE,Y_GE80,2024,7959.0
Estonia,EE,Y_LT20,2015,99.0
Estonia,EE,Y_LT20,2016,89.0
Estonia,EE,Y_LT20,2017,81.0
Estonia,EE,Y_LT20,2018,79.0
Estonia,EE,Y_LT20,2019,71.0
