abbr,year,population,vacc,dose1,dose2,dose3,dose4,dose5,dose6,dose7,doseUNK,total_dose,total_dose1,total_dose2,td1_sum,dose1_pop_ratio,td2_sum,dose2_pop_ratio,td_sum,dose_pop_ratio,name
CZ,2023,10516707,AZ,0,0,0,0,0,0,0,0,0,0,0,446755,0.042480502689672725,439035,0.04174643260480681,886117,0.08425802867760793,Czechia
CZ,2023,10516707,COM,796,913,554,2751,787,0,0,0,5801,796,913,5169645,0.4915649927301388,5114824,0.48635223934640376,14234029,1.3534682481883349,Czechia
CZ,2023,10516707,COMBA.1,87,82,182,767,138,0,0,0,1256,87,82,145,1.3787585790875414e-05,221,2.1014182481265286e-05,117118,0.011136375673487908,Czechia
CZ,2023,10516707,COMBA.4-5,239,232,4505,20920,2385,1,0,0,28282,239,232,442,4.202836496253057e-05,483,4.592692370339879e-05,426861,0.04058884591916462,Czechia
CZ,2023,10516707,COMXBB,70,0,164,1987,8492,0,0,0,10713,70,0,70,6.656075899043303e-06,0,0.0,10713,0.0010186648729492986,Czechia
CZ,2023,10516707,JANSS,507,1,33,3,0,0,0,0,544,507,1,411679,0.03914523814346069,31,2.9476907552906058e-06,413988,0.03936479356133056,Czechia
CZ,2023,10516707,MOD,78,112,117,158,9,0,0,0,474,78,112,517671,0.04922367809619494,509116,0.04841021053453329,1615008,0.15356594036517324,Czechia
CZ,2023,10516707,MODBA.1,10,14,167,444,34,0,0,0,669,10,14,12,1.1410415826931377e-06,18,1.7115623740397065e-06,8313,0.0007904565564106712,Czechia
CZ,2023,10516707,MODBA.4-5,3,2,10,25,9,0,0,0,49,3,2,3,2.852603956732844e-07,2,1.9017359711552295e-07,49,4.6592531293303125e-06,Czechia
CZ,2023,10516707,NVXD,3,12,5,0,0,0,0,0,20,3,12,5436,0.0005168918369599913,5108,0.0004857033670330456,10998,0.0010457646105382606,Czechia
CZ,2023,10516707,SGSK,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,Czechia
